序号,名称,代理名,端口,代理地址,状态,IP地址,国家/地区,城市,运营商,延迟(ms)
17,mixed16,香港-17,1016,socks5://127.0.0.1:1016,成功,157.254.20.87,HK,Hong Kong,AS202662 Hytron Network Services Limited,525.21
18,mixed17,香港-18,1017,socks5://127.0.0.1:1017,成功,157.254.20.88,HK,Hong Kong,AS202662 Hytron Network Services Limited,819.66
19,mixed18,香港-19,1018,socks5://127.0.0.1:1018,成功,157.254.20.89,HK,Hong Kong,AS202662 Hytron Network Services Limited,463.5
20,mixed19,香港-20,1019,socks5://127.0.0.1:1019,成功,157.254.20.90,HK,Hong Kong,AS202662 Hytron Network Services Limited,931.86
21,mixed20,台湾-01,1020,socks5://127.0.0.1:1020,成功,103.137.247.41,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",2995.23
22,mixed21,台湾-02,1021,socks5://127.0.0.1:1021,成功,103.137.247.42,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",1513.61
23,mixed22,台湾-03,1022,socks5://127.0.0.1:1022,成功,103.137.247.43,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",2606.97
24,mixed23,台湾-04,1023,socks5://127.0.0.1:1023,成功,103.137.247.44,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",549.34
25,mixed24,台湾-05,1024,socks5://127.0.0.1:1024,成功,103.137.247.45,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",606.66
26,mixed25,台湾-06,1025,socks5://127.0.0.1:1025,成功,103.137.247.46,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",592.85
27,mixed26,台湾-07,1026,socks5://127.0.0.1:1026,成功,103.137.247.47,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",754.23
28,mixed27,台湾-08,1027,socks5://127.0.0.1:1027,成功,103.137.247.48,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",1349.71
29,mixed28,台湾-09,1028,socks5://127.0.0.1:1028,成功,103.137.247.49,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",1862.29
30,mixed29,台湾-10,1029,socks5://127.0.0.1:1029,成功,103.137.247.50,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",780.24
31,mixed30,日本-01,1030,socks5://127.0.0.1:1030,成功,154.64.226.176,JP,Tokyo,AS51847 Nearoute Limited,1041.49
32,mixed31,日本-02,1031,socks5://127.0.0.1:1031,成功,154.64.226.177,JP,Tokyo,AS51847 Nearoute Limited,501.25
33,mixed32,日本-03,1032,socks5://127.0.0.1:1032,成功,154.64.226.178,JP,Tokyo,AS51847 Nearoute Limited,525.59
34,mixed33,日本-04,1033,socks5://127.0.0.1:1033,成功,154.64.226.179,JP,Tokyo,AS51847 Nearoute Limited,452.4
35,mixed34,日本-05,1034,socks5://127.0.0.1:1034,成功,154.64.226.180,JP,Tokyo,AS51847 Nearoute Limited,425.7
36,mixed35,日本-06,1035,socks5://127.0.0.1:1035,成功,154.64.226.181,JP,Tokyo,AS51847 Nearoute Limited,454.7
37,mixed36,日本-07,1036,socks5://127.0.0.1:1036,成功,154.64.226.182,JP,Tokyo,AS51847 Nearoute Limited,529.8
38,mixed37,日本-08,1037,socks5://127.0.0.1:1037,成功,154.64.226.183,JP,Tokyo,AS51847 Nearoute Limited,543.66
39,mixed38,日本-09,1038,socks5://127.0.0.1:1038,成功,154.64.226.184,JP,Tokyo,AS51847 Nearoute Limited,548.46
40,mixed39,日本-10,1039,socks5://127.0.0.1:1039,成功,154.64.226.185,JP,Tokyo,AS51847 Nearoute Limited,446.28
41,mixed40,新加坡-01,1040,socks5://127.0.0.1:1040,成功,103.172.183.211,SG,Singapore,AS147293 Nearoute Limited.,1213.48
42,mixed41,新加坡-02,1041,socks5://127.0.0.1:1041,成功,103.172.183.212,SG,Singapore,AS147293 Nearoute Limited.,949.7
43,mixed42,新加坡-03,1042,socks5://127.0.0.1:1042,成功,103.172.183.213,SG,Singapore,AS147293 Nearoute Limited.,1948.52
44,mixed43,新加坡-04,1043,socks5://127.0.0.1:1043,成功,103.172.183.214,SG,Singapore,AS147293 Nearoute Limited.,934.33
45,mixed44,新加坡-05,1044,socks5://127.0.0.1:1044,成功,103.172.183.215,SG,Singapore,AS147293 Nearoute Limited.,564.5
46,mixed45,新加坡-06,1045,socks5://127.0.0.1:1045,成功,103.172.183.216,SG,Singapore,AS147293 Nearoute Limited.,3413.91
47,mixed46,新加坡-07,1046,socks5://127.0.0.1:1046,成功,103.172.183.217,SG,Singapore,AS147293 Nearoute Limited.,927.43
48,mixed47,新加坡-08,1047,socks5://127.0.0.1:1047,成功,103.172.183.218,SG,Singapore,AS147293 Nearoute Limited.,941.26
49,mixed48,新加坡-09,1048,socks5://127.0.0.1:1048,成功,103.172.183.219,SG,Singapore,AS147293 Nearoute Limited.,598.57
50,mixed49,新加坡-10,1049,socks5://127.0.0.1:1049,成功,103.172.183.220,SG,Singapore,AS147293 Nearoute Limited.,615.74
51,mixed50,美国-01,1050,socks5://127.0.0.1:1050,成功,38.58.181.10,US,Draper,"AS26042 FiberState, LLC",818.72
52,mixed51,美国-02,1051,socks5://127.0.0.1:1051,成功,38.58.181.11,US,Draper,"AS26042 FiberState, LLC",726.99
53,mixed52,美国-03,1052,socks5://127.0.0.1:1052,成功,38.58.181.13,US,Draper,"AS26042 FiberState, LLC",832.37
54,mixed53,美国-04,1053,socks5://127.0.0.1:1053,成功,38.58.181.13,US,Draper,"AS26042 FiberState, LLC",709.73
55,mixed54,美国-05,1054,socks5://127.0.0.1:1054,成功,38.58.181.14,US,Draper,"AS26042 FiberState, LLC",797.91
56,mixed55,美国-06,1055,socks5://127.0.0.1:1055,成功,38.92.25.11,US,Draper,"AS26042 FiberState, LLC",718.23
57,mixed56,美国-07,1056,socks5://127.0.0.1:1056,成功,38.92.25.12,US,Draper,"AS26042 FiberState, LLC",1102.87
58,mixed57,美国-08,1057,socks5://127.0.0.1:1057,失败: SSLError (已重试 3 次),-,-,-,-,-
59,mixed58,美国-09,1058,socks5://127.0.0.1:1058,成功,38.92.25.14,US,Draper,"AS26042 FiberState, LLC",714.97
60,mixed59,美国-10,1059,socks5://127.0.0.1:1059,成功,38.92.25.15,US,Draper,"AS26042 FiberState, LLC",771.41
61,mixed60,英国-01,1060,socks5://127.0.0.1:1060,成功,185.141.57.16,GB,London,AS62240 Clouvider,1614.79
62,mixed61,英国-02,1061,socks5://127.0.0.1:1061,成功,185.141.57.17,GB,London,AS62240 Clouvider,855.25
63,mixed62,英国-03,1062,socks5://127.0.0.1:1062,成功,185.141.57.18,GB,London,AS62240 Clouvider,2353
64,mixed63,英国-04,1063,socks5://127.0.0.1:1063,成功,185.141.57.19,GB,London,AS62240 Clouvider,940.66
65,mixed64,英国-05,1064,socks5://127.0.0.1:1064,成功,185.141.57.20,GB,London,AS62240 Clouvider,1898.66
66,mixed65,马来西亚-01,1065,socks5://127.0.0.1:1065,成功,124.217.226.216,MY,Klang,AS45839 Shinjiru Technology Sdn Bhd,2809.68
67,mixed66,马来西亚-02,1066,socks5://127.0.0.1:1066,成功,124.217.226.217,MY,Klang,AS45839 Shinjiru Technology Sdn Bhd,1296
68,mixed67,马来西亚-03,1067,socks5://127.0.0.1:1067,成功,124.217.226.218,MY,Klang,AS45839 Shinjiru Technology Sdn Bhd,1258.18
69,mixed68,马来西亚-04,1068,socks5://127.0.0.1:1068,成功,124.217.226.219,MY,Klang,AS45839 Shinjiru Technology Sdn Bhd,1074.16
70,mixed69,马来西亚-05,1069,socks5://127.0.0.1:1069,成功,124.217.226.220,MY,Klang,AS45839 Shinjiru Technology Sdn Bhd,901.68
71,mixed70,土耳其-01,1070,socks5://127.0.0.1:1070,成功,2.59.181.143,TR,Bursa,AS200239 Bogahost Bilisim ve Telekomunikasyon Hiz. San ve Tic. Ltd. Sti.,2296.46
72,mixed71,土耳其-02,1071,socks5://127.0.0.1:1071,成功,2.59.181.54,TR,Bursa,AS200239 Bogahost Bilisim ve Telekomunikasyon Hiz. San ve Tic. Ltd. Sti.,1298.53
73,mixed72,阿根廷-01,1072,socks5://127.0.0.1:1072,成功,154.205.154.129,AR,Buenos Aires,AS138915 Kaopu Cloud HK Limited,1529.69
74,mixed73,阿根廷-02,1073,socks5://127.0.0.1:1073,成功,38.54.45.42,AR,Buenos Aires,AS138915 Kaopu Cloud HK Limited,2465.54
